country,animal,animal_de,group_category,group,could_beat_pct,could_not_beat_pct,dont_know_pct,base_weighted,base_unweighted
US,Gorilla,Gorilla,Region,Northeast,8,83,9,218,195
US,Gorilla,Gorilla,Region,Midwest,5,88,7,257,279
US,Gorilla,Gorilla,Region,South,10,80,10,461,447
US,Gorilla,Gorilla,Region,West,8,83,9,289,303
US,Chimpanzee,Schimpanse,Total,Total,17,65,19,1224,1224
US,Chimpanzee,Schimpanse,Gender,Male,22,59,19,596,587
US,Chimpanzee,Schimpanse,Gender,Female,12,70,18,628,637
US,Chimpanzee,Schimpanse,Age,18-34,22,57,20,400,435
US,Chimpanzee,Schimpanse,Age,35-54,14,65,21,332,331
US,Chimpanzee,Schimpanse,Age,55+,14,71,15,491,458
US,Chimpanzee,Schimpanse,Region,Northeast,18,66,15,218,195
US,Chimpanzee,Schimpanse,Region,Midwest,13,70,17,257,279
US,Chimpanzee,Schimpanse,Region,South,19,61,20,461,447
US,Chimpanzee,Schimpanse,Region,West,16,64,20,289,303
US,King Cobra,Königskobra,Total,Total,15,69,15,1224,1224
US,King Cobra,Königskobra,Gender,Male,23,58,18,596,587
US,King Cobra,Königskobra,Gender,Female,8,80,12,628,637
US,King Cobra,Königskobra,Age,18-34,23,58,19,400,435
US,King Cobra,Königskobra,Age,35-54,12,73,15,332,331
US,King Cobra,Königskobra,Age,55+,12,76,12,491,458
US,King Cobra,Königskobra,Region,Northeast,13,73,14,218,195
US,King Cobra,Königskobra,Region,Midwest,11,76,13,257,279
US,King Cobra,Königskobra,Region,South,18,65,16,461,447
US,King Cobra,Königskobra,Region,West,17,67,16,289,303
US,Elephant,Elefant,Total,Total,8,82,9,1224,1224
US,Elephant,Elefant,Gender,Male,9,82,9,596,587
US,Elephant,Elefant,Gender,Female,8,83,10,628,637
US,Elephant,Elefant,Age,18-34,16,69,14,400,435
US,Elephant,Elefant,Age,35-54,8,82,10,332,331
US,Elephant,Elefant,Age,55+,2,93,5,491,458
US,Elephant,Elefant,Region,Northeast,6,84,10,218,195
US,Elephant,Elefant,Region,Midwest,6,87,8,257,279
US,Elephant,Elefant,Region,South,9,80,11,461,447
US,Elephant,Elefant,Region,West,11,81,8,289,303
US,Crocodile,Krokodil,Total,Total,9,79,12,1224,1224
US,Crocodile,Krokodil,Gender,Male,10,76,13,596,587
US,Crocodile,Krokodil,Gender,Female,8,82,10,628,637
US,Crocodile,Krokodil,Age,18-34,17,67,16,400,435
US,Crocodile,Krokodil,Age,35-54,7,82,11,332,331
US,Crocodile,Krokodil,Age,55+,4,87,8,491,458
US,Crocodile,Krokodil,Region,Northeast,7,81,12,218,195
US,Crocodile,Krokodil,Region,Midwest,5,86,10,257,279
US,Crocodile,Krokodil,Region,South,11,77,12,461,447
US,Crocodile,Krokodil,Region,West,12,76,13,289,303
US,Goose,Gans,Total,Total,61,24,15,1224,1224
US,Goose,Gans,Gender,Male,71,16,13,596,587
US,Goose,Gans,Gender,Female,51,32,17,628,637
US,Goose,Gans,Age,18-34,53,31,16,400,435
US,Goose,Gans,Age,35-54,64,21,16,332,331
US,Goose,Gans,Age,55+,66,21,13,491,458
US,Goose,Gans,Region,Northeast,58,23,18,218,195
US,Goose,Gans,Region,Midwest,59,26,15,257,279
US,Goose,Gans,Region,South,65,22,13,461,447
US,Goose,Gans,Region,West,58,28,14,289,303
